,date,confirmed,deaths,recovered
168,2020-7-8,767296,21129,476378
169,2020-7-9,793802,21604,495513
170,2020-7-10,820916,22123,515386
171,2020-7-11,849522,22673,534618
172,2020-7-12,878254,23174,553471
173,2020-7-13,906752,23727,571460
174,2020-7-14,936181,24309,592032
175,2020-7-15,968857,24914,612768
176,2020-7-16,1003832,25602,635757
177,2020-7-17,1039084,26273,653751
178,2020-7-18,1077781,26816,677423
179,2020-7-19,1118206,27497,700087
180,2020-7-20,1155338,28082,724578
181,2020-7-21,1193078,28732,753050
182,2020-7-22,1238798,29861,782607
183,2020-7-23,1288108,30601,817209
184,2020-7-24,1337024,31358,849432
185,2020-7-25,1385635,32060,885573
186,2020-7-26,1435616,32771,917568
187,2020-7-27,1480073,33408,951166
188,2020-7-28,1531669,34193,988029
189,2020-7-29,1581963,34955,1019735
190,2020-7-30,1634746,35718,1055348
191,2020-7-31,1695988,36511,1094374
192,2020-8-1,1750723,37364,1145629
193,2020-8-2,1803695,38135,1186203
194,2020-8-3,1855745,38938,1230509
195,2020-8-4,1908254,39795,1282215
196,2020-8-5,1964536,40699,1328336
197,2020-8-6,2027074,41585,1378105
198,2020-8-7,2088611,42518,1427005
199,2020-8-8,2153010,43379,1480884
200,2020-8-9,2215074,44386,1535743
201,2020-8-10,2268675,45257,1583489
202,2020-8-11,2329638,46091,1639599
203,2020-8-12,2396637,47033,1695982
204,2020-8-13,2461190,48040,1751555
205,2020-8-14,2525922,49036,1808936
206,2020-8-15,2589952,49980,1862258
207,2020-8-16,2647663,50921,1919842
208,2020-8-17,2702681,51797,1977671
209,2020-8-18,2767253,52888,2037816
210,2020-8-19,2836925,53866,2096664
211,2020-8-20,2905825,54849,2158946
212,2020-8-21,2975701,55794,2222577
213,2020-8-22,3044940,56706,2280566
214,2020-8-23,3106348,57542,2338035
215,2020-8-24,3167323,58390,2404585
216,2020-8-25,3224547,59357,2458339
217,2020-8-26,3310234,60472,2523771
218,2020-8-27,3387500,61529,2583948
219,2020-8-28,3463972,62550,2648998
220,2020-8-29,3542733,63498,2713933
221,2020-8-30,3621245,64469,2774801
222,2020-8-31,3691166,65288,2839882
223,2020-9-1,3769523,66333,2901908
224,2020-9-2,3853406,67376,2970492
225,2020-9-3,3936747,68472,3037151
226,2020-9-4,4023179,69561,3107223
227,2020-9-5,4113811,70626,3180865
228,2020-9-6,4204613,71642,3250429
229,2020-9-7,4280422,72775,3323950
230,2020-9-8,4370128,73890,3398844
231,2020-9-9,4465863,75062,3471783
232,2020-9-10,4562414,76271,3542663
233,2020-9-11,4659984,77472,3624196
234,2020-9-12,4754356,78586,3702595
235,2020-9-13,4846427,79722,3780107
236,2020-9-14,4930236,80776,3859399
237,2020-9-15,5020359,82066,3942360
238,2020-9-16,5118253,83198,4025079
239,2020-9-17,5214677,84372,4112551
240,2020-9-18,5308014,85619,4208431
241,2020-9-19,5400619,86752,4303043
242,2020-9-20,5487580,87882,4396399
243,2020-9-21,5562663,88935,4497867
244,2020-9-22,5646010,90020,4587613
245,2020-9-23,5732518,91149,4674987
246,2020-9-24,5818570,92290,4756164
247,2020-9-25,5903932,93379,4849584
248,2020-9-26,5992532,94503,4941627
249,2020-9-27,6074702,95542,5016520
250,2020-9-28,6145291,96318,5101397
251,2020-9-29,6225763,97497,5187825
252,2020-9-30,6312584,98678,5273201
253,2020-10-1,6394068,99773,5352078
254,2020-10-2,6473544,100842,5427706
255,2020-10-3,6549373,101782,5509966
256,2020-10-4,6623815,102685,5586703
257,2020-10-5,6685082,103569,5662490
258,2020-10-6,6757131,104555,5744693
259,2020-10-7,6835655,105526,5827704
260,2020-10-8,6906151,106490,5906069
261,2020-10-9,6979423,107416,5988822
262,2020-10-10,7053806,108334,6077976
263,2020-10-11,7120538,109150,6149535
264,2020-10-12,7175880,109856,6227295
265,2020-10-13,7239389,110586,6301927
266,2020-10-14,7307097,111266,6383441
267,2020-10-15,7370468,112161,6453779
268,2020-10-16,7432680,112998,6524595
269,2020-10-17,7494551,114031,6597209
